
a: 0.000000, f(a): 0.000000; b: 1.000000, f(b): 1.000000
+-----------------+----------+
| # Stuetzstellen |    sum   |
+-----------------+----------+
|       1         | 0.500000 |
|       2         | 0.375000 |
|       4         | 0.343750 |
|       8         | 0.335938 |
|      16         | 0.333984 |
|      32         | 0.333496 |
|      64         | 0.333374 |
|     128         | 0.333344 |
|     256         | 0.333336 |
|     512         | 0.333334 |
|    1024         | 0.333333 |
|    2048         | 0.333333 |
|    4096         | 0.333333 |
|    8192         | 0.333333 |
|   16384         | 0.333333 |
|   32768         | 0.333333 |
|   65536         | 0.333333 |
|  131072         | 0.333333 |
|  262144         | 0.333333 |
|  524288         | 0.333333 |
| 1048576         | 0.333333 |
+-----------------+----------+
